"id","status","status_detail","build_country","build_year","flag_name","dead_weight","vessel_type"
80439,Active,In Service/Commission,China,2010,Marshall Islands,156717,Crude/Oil Products Tanker
114128,Active,In Service/Commission,Japan,1998,Sierra Leone,5790,Products Tanker 
70991,Active,In Service/Commission,United States of America,2004,United States of America,141740,Crude/Oil Products Tanker
83934,Active,In Service/Commission,South Korea,2011,Greece,319861,Crude Oil Tanker
79383,Active,In Service/Commission,South Korea,2008,Malta,50344,Crude/Oil Products Tanker
89827,Active,In Service/Commission,Philippines,2013,Singapore,160250,Crude/Oil Products Tanker
118651,Active,In Service/Commission,,2021,,7356,Chemical/Oil Products Tanker
89881,Active,In Service/Commission,South Korea,2012,Hong Kong,318123,Crude Oil Tanker
80907,Active,In Service/Commission,China,2010,Liberia,50338,Chemical/Oil Products Tanker
92311,Active,In Service/Commission,South Korea,2013,Liberia,154846,Crude/Oil Products Tanker
75008,Active,In Service/Commission,Japan,2006,Marshall Islands,74993,Crude/Oil Products Tanker
119561,Active,In Service/Commission,South Korea,2022,Morocco,9136,Products Tanker 
80945,Active,In Service/Commission,South Korea,2009,Belgium,157714,Crude/Oil Products Tanker
90071,Active,In Service/Commission,South Korea,2012,Liberia,115724,Crude/Oil Products Tanker
93809,Active,In Service/Commission,South Korea,2014,Kuwait,46327,Crude/Oil Products Tanker
94859,Active,In Service/Commission,South Korea,2017,Denmark,158277,Crude/Oil Products Tanker
105033,Active,In Service/Commission,South Korea,2020,Marshall Islands,299420,Crude Oil Tanker
114844,Active,In Service/Commission,Netherlands,2003,Netherlands,7559,Products Tanker 
117083,Active,In Service/Commission,South Korea,2022,Malta,299986,Crude Oil Tanker
76920,Active,In Service/Commission,Japan,2007,Marshall Islands,19981,Crude/Oil Products Tanker
118264,Active,In Service/Commission,South Korea,2023,Marshall Islands,157010,Crude Oil Tanker
120001,Active,In Service/Commission,China,2023,Liberia,7450,Chemical/Oil Products Tanker
115863,Active,In Service/Commission,South Korea,2009,"Korea, Republic of",8027,Chemical/Oil Products Tanker
76760,Active,In Service/Commission,Japan,2007,Liberia,105576,Crude/Oil Products Tanker
74794,Active,In Service/Commission,South Korea,2007,Marshall Islands,46784,Chemical/Oil Products Tanker
68756,Active,In Service/Commission,South Korea,2000,Syrian Arab Republic,105588,Crude/Oil Products Tanker
114680,Active,In Service/Commission,Netherlands,2004,Netherlands,7559,Products Tanker 
79401,Active,In Service/Commission,Japan,2009,Japan,299982,Crude Oil Tanker
116828,Active,In Service/Commission,South Korea,2012,Netherlands,6265,Asphalt/Bitumen Tanker
70132,Active,In Service/Commission,Japan,2001,Marshall Islands,72562,Bulk/Caustic Soda Carrier (CABU)
59155,Active,In Service/Commission,,1979,United States of America,352,Crude/Oil Products Tanker
70134,Active,In Service/Commission,Japan,2002,Norway,72562,Bulk/Caustic Soda Carrier (CABU)
81175,Active,In Service/Commission,South Korea,2009,Viet Nam,17532,Crude/Oil Products Tanker
120595,Active,In Service/Commission,China,2023,Singapore,49570,Products Tanker 
70969,Active,In Service/Commission,South Korea,2003,Indonesia,298555,Crude Oil Tanker
78937,Active,In Service/Commission,South Korea,2009,Marshall Islands,36677,Chemical/Oil Products Tanker
106693,Active,In Service/Commission,Philippines,2003,Bahamas,50379,Bulk/Oil Carrier (OBO)
75784,Active,In Service/Commission,China,2007,Portugal,16512,Crude/Oil Products Tanker
71174,Active,In Service/Commission,Japan,2002,Panama,106638,Crude/Oil Products Tanker
74548,Active,In Service/Commission,Japan,2005,Marshall Islands,72562,Bulk/Caustic Soda Carrier (CABU)
100473,Active,In Service/Commission,South Korea,2017,Liberia,113221,Crude/Oil Products Tanker
95614,Active,In Service/Commission,China,2016,Marshall Islands,49999,Crude/Oil Products Tanker
71786,Active,In Service/Commission,South Korea,2003,Marshall Islands,72909,Crude/Oil Products Tanker
116991,Active,In Service/Commission,,1998,Japan,1417,Asphalt/Bitumen Tanker
116996,Active,In Service/Commission,,2013,China Peoples's Republic,3200,Asphalt/Bitumen Tanker
116782,Active,In Service/Commission,Bulgaria,2003,Netherlands,4999,Asphalt/Bitumen Tanker
74848,Active,In Service/Commission,Japan,2007,Marshall Islands,72562,Bulk/Caustic Soda Carrier (CABU)
78564,Active,In Service/Commission,Japan,2010,Liberia,297958,Crude Oil Tanker
82107,Active,In Service/Commission,China,2010,Marshall Islands,109005,Crude/Oil Products Tanker
76238,Active,In Service/Commission,China,2006,Marshall Islands,74035,Crude/Oil Products Tanker
91231,Active,In Service/Commission,Japan,2013,Singapore,70373,Bulk/Caustic Soda Carrier (CABU)
72990,Active,In Service/Commission,South Korea,2004,India,51318,Products Tanker 
69750,Active,In Service/Commission,South Korea,2001,Saudi Arabia,303116,Crude Oil Tanker
91233,Active,In Service/Commission,Japan,2013,Singapore,70373,Bulk/Caustic Soda Carrier (CABU)
72480,Active,In Service/Commission,China,2004,Sweden,17592,Crude/Oil Products Tanker
116979,Active,In Service/Commission,,1995,Indonesia,1354,Asphalt/Bitumen Tanker
81217,Active,In Service/Commission,South Korea,2010,Panama,316427,Crude Oil Tanker
98002,Active,In Service/Commission,China,2017,Norway,80236,Bulk/Caustic Soda Carrier (CABU)
88797,Active,In Service/Commission,Japan,2010,Liberia,47917,Crude Oil Tanker
94159,Active,In Service/Commission,China,2015,Marshall Islands,115054,Crude/Oil Products Tanker
94795,Active,In Service/Commission,South Korea,2014,Marshall Islands,49715,Chemical/Oil Products Tanker
69432,Active,In Service/Commission,Japan,2001,Norway,72562,Bulk/Caustic Soda Carrier (CABU)
98004,Active,In Service/Commission,China,2016,Norway,80345,Bulk/Caustic Soda Carrier (CABU)
117194,Active,In Service/Commission,South Korea,2022,Greece,299999,Crude Oil Tanker
81671,Active,In Service/Commission,South Korea,2009,Gabon,49999,Chemical/Oil Products Tanker
102312,Active,In Service/Commission,China,2020,Liberia,157162,Crude Oil Tanker
98707,Active,In Service/Commission,China,2016,Marshall Islands,80235,Bulk/Caustic Soda Carrier (CABU)
72328,Active,In Service/Commission,Japan,2003,Panama,106360,Crude/Oil Products Tanker
104529,Active,In Service/Commission,South Korea,2019,Algeria,39916,Products Tanker 
116720,Active,In Service/Commission,Bulgaria,2004,Netherlands,4999,Asphalt/Bitumen Tanker
115820,Active,In Service/Commission,Japan,2003,Marshall Islands,8522,Chemical/Oil Products Tanker
92903,Active,In Service/Commission,South Korea,2012,Singapore,37538,Crude/Oil Products Tanker
69430,Active,In Service/Commission,Japan,2001,Marshall Islands,72562,Bulk/Caustic Soda Carrier (CABU)
72590,Active,In Service/Commission,Japan,2005,Liberia,25147,Chemical/Oil Products Tanker
116985,Active,In Service/Commission,,2013,Japan,1253,Asphalt/Bitumen Tanker
65597,Active,In Service/Commission,Ukraine,2002,Saint Vincent and the Grenadines,45364,Chemical/Oil Products Tanker
116995,Active,In Service/Commission,,1994,Indonesia,1900,Asphalt/Bitumen Tanker
86934,Active,In Service/Commission,South Korea,2012,Norway,45318,Crude/Oil Products Tanker
78813,Active,In Service/Commission,South Korea,2008,Greece,49990,Crude/Oil Products Tanker
114190,Active,In Service/Commission,Turkey,2007,Thailand,9942,Chemical/Oil Products Tanker
79043,Active,In Service/Commission,,2009,United States of America,1445,Crude/Oil Products Tanker
79385,Active,In Service/Commission,South Korea,2008,Malta,50633,Crude/Oil Products Tanker
80863,Active,In Service/Commission,South Korea,2009,Libya,164787,Crude/Oil Products Tanker
79865,Active,In Service/Commission,Japan,2009,Liberia,46646,Products Tanker 
90075,Active,In Service/Commission,South Korea,2012,Marshall Islands,115691,Crude/Oil Products Tanker
80959,Active,In Service/Commission,Japan,2009,Singapore,107481,Crude/Oil Products Tanker
86328,Active,In Service/Commission,South Korea,2010,Singapore,17589,Crude/Oil Products Tanker
91671,Active,In Service/Commission,China,2012,China,109475,Crude/Oil Products Tanker
99717,Active,In Service/Commission,Japan,2018,Bahamas,49800,Crude/Oil Products Tanker
100475,Active,In Service/Commission,South Korea,2016,Marshall Islands,158838,Crude/Oil Products Tanker
81559,Active,In Service/Commission,Japan,2010,Singapore,45988,Products Tanker 
105003,Active,In Service/Commission,South Korea,2020,Marshall Islands,158060,Crude Oil Tanker
116982,Active,In Service/Commission,Singapore,1991,Cook Islands,3764,Asphalt/Bitumen Tanker
116411,Active,In Service/Commission,South Korea,2020,Marshall Islands,49999,Products Tanker 
120556,Active,In Service/Commission,,1993,,2310,Crude/Oil Products Tanker
71440,Active,In Service/Commission,South Korea,2003,Liberia,306093,Crude Oil Tanker
120557,Active,In Service/Commission,,2011,,4243,Chemical/Oil Products Tanker
81233,Active,In Service/Commission,South Korea,2009,Panama,105073,Crude/Oil Products Tanker
120558,Active,In Service/Commission,,1975,,4125,Chemical/Oil Products Tanker
81695,Active,In Service/Commission,South Korea,2010,Bahamas,119456,Crude/Oil Products Tanker
93397,Active,In Service/Commission,South Korea,2013,Marshall Islands,49990,Crude/Oil Products Tanker
75232,Active,In Service/Commission,Japan,2004,Panama,107081,Crude/Oil Products Tanker
120567,Active,In Service/Commission,,2022,,3447,Chemical/Oil Products Tanker
115418,Active,In Service/Commission,Turkey,2003,Malta,5825,Chemical/Oil Products Tanker
71706,Active,In Service/Commission,South Korea,2003,Belize,104864,Crude/Oil Products Tanker
104319,Active,In Service/Commission,China,2020,Liberia,24000,Chemical Tanker
120490,Active,In Service/Commission,China,2023,Marshall Islands,17779,Asphalt/Bitumen Tanker
114869,Active,In Service/Commission,Russia,1995,Russian Federation,5797,Chemical/Oil Products Tanker
114626,Active,In Service/Commission,South Korea,2008,Denmark,8139,Chemical/Oil Products Tanker
82772,Active,In Service/Commission,South Korea,2009,Malta,74788,Products Tanker 
76254,Active,In Service/Commission,South Korea,2006,Saint Kitts and Nevis,11262,Crude/Oil Products Tanker
120633,Active,In Service/Commission,,2023,,21500,Asphalt/Bitumen Tanker
73824,Active,In Service/Commission,South Korea,2005,Panama,159195,Crude/Oil Products Tanker
120634,Active,In Service/Commission,,2023,,21500,Asphalt/Bitumen Tanker
79689,Active,In Service/Commission,South Korea,2008,Panama,51246,Crude/Oil Products Tanker
73064,Active,In Service/Commission,China,2004,China,109181,Crude/Oil Products Tanker
74600,Active,In Service/Commission,Japan,2005,Marshall Islands,19953,Crude/Oil Products Tanker
114155,Active,In Service/Commission,Japan,2002,Panama,8518,Chemical/Oil Products Tanker
75698,Active,In Service/Commission,South Korea,2006,Gabon,158889,Crude/Oil Products Tanker
59675,Active,In Service/Commission,Finland,1982,Russian Federation,11548,Crude/Oil Products Tanker
86914,Active,In Service/Commission,South Korea,2011,Marshall Islands,158574,Crude/Oil Products Tanker
118240,Active,In Service/Commission,South Korea,2023,Marshall Islands,299985,Crude Oil Tanker
73026,Active,In Service/Commission,Japan,2004,Belize,46866,Products Tanker 
118427,Active,In Service/Commission,South Korea,2023,Marshall Islands,114980,Crude Oil Tanker
73190,Active,In Service/Commission,Japan,2004,Panama,33944,Chemical/Oil Products Tanker
101781,Active,In Service/Commission,Romania,2022,France,40356,Products Tanker 
104667,Active,In Service/Commission,South Korea,2019,Marshall Islands,49999,Products Tanker 
80593,Active,In Service/Commission,China,2011,Marshall Islands,156516,Crude/Oil Products Tanker
86130,Active,In Service/Commission,,2008,Iran (Islamic Republic of),55256,Crude/Oil Products Tanker
92153,Active,In Service/Commission,China,2014,China,320775,Crude Oil Tanker
76464,Active,In Service/Commission,Japan,2007,Gabon,115577,Crude/Oil Products Tanker
102977,Active,In Service/Commission,Vietnam,2019,Marshall Islands,47499,Products Tanker 
97082,Active,In Service/Commission,South Korea,2016,Hong Kong,49895,Crude/Oil Products Tanker
75318,Active,In Service/Commission,South Korea,2006,Panama,306507,Crude Oil Tanker
72444,Active,In Service/Commission,Japan,2003,Saudi Arabia,105433,Crude/Oil Products Tanker
94930,Active,In Service/Commission,South Korea,2015,Panama,319547,Crude Oil Tanker
78476,Active,In Service/Commission,China,2008,Panama,53143,Crude/Oil Products Tanker
92173,Active,In Service/Commission,South Korea,2012,Malta,299999,Crude Oil Tanker
73120,Active,In Service/Commission,China,2003,Norway,16626,Crude/Oil Products Tanker
115727,Active,In Service/Commission,Turkey,2014,Cyprus,6346,Chemical/Oil Products Tanker
70224,Active,In Service/Commission,South Korea,2002,Cameroon,164286,Crude/Oil Products Tanker
71536,Active,In Service/Commission,South Korea,2003,Panama,299999,Crude Oil Tanker
102897,Active,In Service/Commission,South Korea,2019,Singapore,149999,Crude Oil Tanker
120655,Active,In Service/Commission,Turkey,2023,Malta,8129,Chemical/Oil Products Tanker
104841,Active,In Service/Commission,South Korea,2020,Norway,152868,Crude Oil Tanker
75768,Active,In Service/Commission,China,2007,Marshall Islands,307284,Crude Oil Tanker
121093,Active,In Service/Commission,,2006,Norway,4054,Chemical/Oil Products Tanker
67816,Inactive,Broken Up,South Korea,1999,Isle of Man,153617,Crude/Oil Products Tanker
67912,Active,In Service/Commission,South Korea,1999,Iran (Islamic Republic of),159681,Crude/Oil Products Tanker
72540,Active,In Service/Commission,China,2004,Barbados,18610,Crude/Oil Products Tanker
95230,Active,In Service/Commission,South Korea,2014,Marshall Islands,109999,Crude/Oil Products Tanker
81657,Active,In Service/Commission,Turkey,2009,Panama,19992,Crude/Oil Products Tanker
121095,Active,In Service/Commission,,2007,Indonesia,3075,Asphalt/Bitumen Tanker
69408,Active,In Service/Commission,Japan,2001,Liberia,45282,Chemical/Oil Products Tanker
87006,Active,In Service/Commission,Japan,2011,Singapore,45996,Products Tanker 
79371,Active,In Service/Commission,South Korea,2008,Liberia,37602,Crude/Oil Products Tanker
79651,Active,In Service/Commission,China,2007,Cook Islands,11479,Crude/Oil Products Tanker
89775,Active,In Service/Commission,South Korea,2011,Panama,158671,Crude/Oil Products Tanker
115412,Active,In Service/Commission,China,1998,Russian Federation,8269,Chemical/Oil Products Tanker
81081,Active,In Service/Commission,South Korea,2010,Marshall Islands,115785,Crude/Oil Products Tanker
74690,Active,In Service/Commission,Croatia,2005,Marshall Islands,46720,Chemical/Oil Products Tanker
64319,Active,In Service/Commission,Germany,1992,Comoros,10926,Crude/Oil Products Tanker
73690,Active,In Service/Commission,South Korea,2005,Panama,318658,Crude Oil Tanker
105993,Active,In Service/Commission,China,2021,China,11960,Chemical/Oil Products Tanker
120902,Active,In Service/Commission,,2022,,1650,Products Tanker 
80967,Active,In Service/Commission,China,2010,China,109892,Crude/Oil Products Tanker
121319,Active,In Service/Commission,,2022,,6865,Chemical/Oil Products Tanker
114609,Active,In Service/Commission,China,2009,Indonesia,6921,Products Tanker 
88098,Active,In Service/Commission,Japan,2010,Panama,47981,Products Tanker 
75816,Active,In Service/Commission,South Korea,2006,"Korea, Republic of",11289,Crude/Oil Products Tanker
121100,Active,In Service/Commission,,2020,Liberia,21028,Chemical Tanker
72582,Active,In Service/Commission,Japan,2005,Panama,14271,Crude/Oil Products Tanker
120838,Active,In Service/Commission,China,2023,China,8795,Chemical/Oil Products Tanker
78771,Active,In Service/Commission,South Korea,2008,Greece,46923,Crude/Oil Products Tanker
121322,Active,In Service/Commission,,1997,,4985,Chemical/Oil Products Tanker
120839,Active,In Service/Commission,China,2023,China,26044,Chemical/Oil Products Tanker
96558,Active,In Service/Commission,South Korea,2015,Singapore,37596,Chemical/Oil Products Tanker
89017,Active,In Service/Commission,China,2022,Liberia,18188,Chemical/Oil Products Tanker
118349,Active,In Service/Commission,South Korea,2022,Bahamas,115429,Crude Oil Tanker
102064,Active,In Service/Commission,Japan,2017,Singapore,12686,Crude/Oil Products Tanker
68908,Active,In Service/Commission,Japan,2000,Panama,281050,Crude Oil Tanker
73752,Active,In Service/Commission,Japan,2006,Liberia,48711,Crude/Oil Products Tanker
93093,Active,In Service/Commission,Japan,2012,United Kingdom,19801,Crude/Oil Products Tanker
120080,Active,In Service/Commission,Japan,2023,Philippines,19944,Chemical/Oil Products Tanker
111377,Active,In Service/Commission,China,2022,Cyprus,49900,Products Tanker 
114253,Active,In Service/Commission,Japan,2002,Panama,8792,Chemical/Oil Products Tanker
73762,Active,In Service/Commission,South Korea,2005,Panama,306998,Crude Oil Tanker
89253,Active,In Service/Commission,China,2011,Marshall Islands,19131,Crude/Oil Products Tanker
69060,Active,In Service/Commission,South Korea,2000,Cameroon,299089,Crude Oil Tanker
73800,Active,In Service/Commission,South Korea,2005,Liberia,49000,Crude/Oil Products Tanker
81099,Active,In Service/Commission,South Korea,2009,Liberia,51332,Crude/Oil Products Tanker
89255,Active,In Service/Commission,China,2011,Malta,19118,Crude/Oil Products Tanker
70651,Active,In Service/Commission,South Korea,2002,Panama,305796,Crude Oil Tanker
96288,Active,In Service/Commission,Japan,2015,Marshall Islands,25217,Chemical/Oil Products Tanker
96198,Active,In Service/Commission,South Korea,2015,Marshall Islands,38734,Crude/Oil Products Tanker
71838,Active,In Service/Commission,South Korea,2004,Panama,298564,Crude Oil Tanker
72706,Active,In Service/Commission,Japan,2003,Viet Nam,21181,Chemical/Oil Products Tanker
81049,Active,In Service/Commission,South Korea,2008,India,46197,Chemical/Oil Products Tanker
81915,Active,In Service/Commission,South Korea,2010,Liberia,51672,Crude/Oil Products Tanker
96348,Active,In Service/Commission,South Korea,2016,Marshall Islands,109999,Crude/Oil Products Tanker
68675,Active,In Service/Commission,South Korea,2001,Panama,160573,Crude/Oil Products Tanker
67535,Active,In Service/Commission,Japan,1998,Panama,19508,Crude/Oil Products Tanker
86250,Active,In Service/Commission,South Korea,2011,Italy,51003,Crude/Oil Products Tanker
72682,Active,In Service/Commission,South Korea,2004,Marshall Islands,70313,Crude/Oil Products Tanker
69330,Active,In Service/Commission,South Korea,2000,Peru,46337,Chemical/Oil Products Tanker
117488,Active,In Service/Commission,China,2023,Liberia,49999,Products Tanker 
72486,Active,In Service/Commission,Croatia,2005,Norway,47171,Chemical/Oil Products Tanker
101428,Active,In Service/Commission,China,2018,Marshall Islands,75207,Products Tanker 
72970,Active,In Service/Commission,Japan,2005,Panama,281396,Crude Oil Tanker
101016,Active,In Service/Commission,China,2017,Panama,50017,Crude/Oil Products Tanker
